full_id,osm_id,osm_type,shop,contact:phone,name:zh,addr:unit,official_name,contact:facebook,sfgov:OBJNAME,payment:contactless,organic,level,origin,alt_name,addr:housename,atm,payment:debit_cards,payment:credit_cards,payment:cash,roof:shape,start_date,roof:colour,internet_access,building:colour,layer,operator,wikipedia,wikidata,payment:visa,payment:mastercard,image,email,cooperative,roof:levels,check_date:opening_hours,smoking,ref,branch,wheelchair,phone,height,designation,website,type,opening_hours,name,check_date,building:levels,building,brand:wikidata,brand,addr:street,addr:state,addr:postcode,addr:housenumber,addr:country,addr:city
w219058329,"219058329",way,supermarket,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"985",,yes,+1 415-665-4565,"0",Safeway 0985,https://local.safeway.com/safeway/ca/san-francisco/2350-noriega-st.html,,"06:00-02:00",Safeway,2026-02-15,,yes,Q1508234,Safeway,Noriega Street,CA,"94122","2350",,San Francisco
w219059013,"219059013",way,supermarket,,,,,,,,,,,,,,,,,,"1971",#dad8d4,wlan,#d9d4cd,,,,,,,,,,,,,"0785",,yes,+1 415-387-4664,"0.01",Safeway 0785,https://local.safeway.com/safeway/ca/san-francisco/850-la-playa-st.html,,Mo-Su 09:00-00:00,Safeway,2025-07-26,"1",retail,Q1508234,Safeway,La Playa Street,CA,"94121","850",,San Francisco
w219059390,"219059390",way,supermarket,,,,,,,,,,,,,,,,,,,,,,"-1",,,,,,,,,,,,"759","0759",,+1 415-586-2421,,Safeway 0759,https://local.safeway.com/safeway/ca/san-francisco/625-monterey-blvd.html,,"06:00-24:00",Safeway,,,yes,Q1508234,Safeway,Monterey Boulevard,CA,"94127","625",,San Francisco
w219071301,"219071301",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0667","0667",yes,+1 415-824-7744,"6",Safeway 0667,https://local.safeway.com/safeway/ca/san-francisco/5290-diamond-heights-blvd.html,,"06:00-02:00",Safeway,,,yes,Q1508234,Safeway,Diamond Heights Boulevard,CA,"94131","5290",,San Francisco
w219072560,"219072560",way,supermarket,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"1507",,yes,+1 415-861-7660,"6",,https://local.safeway.com/safeway/ca/san-francisco/2020-market-st.html,,Mo-Su 06:00-21:00,Safeway,2025-12-02,"1",retail,Q1508234,Safeway,Market Street,CA,"94114","2020",,San Francisco
w225063111,"225063111",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,Mo-Su 07:00-21:30,Good Life Grocery,,,yes,,,Cortland Avenue,,"94110","448",,
w228246796,"228246796",way,supermarket,,,,,,,,,,,,,,,,,flat,,,,,,,,,,,,,,,2024-10-03,,haightstreet,Haight Street,yes,+1 415-876-6740,"6",,https://www.wholefoodsmarket.com/stores/haightstreet,,Mo-Su 08:00-22:00,Whole Foods Market,2026-01-25,"1",retail,Q1809448,Whole Foods Market,Stanyan Street,CA,"94117","690",,San Francisco
w231656266,"231656266",way,supermarket,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,"0739",,yes,+1 415-826-2866,"7",Safeway 0739,https://local.safeway.com/safeway/ca/san-francisco/3350-mission-st.html,,24/7,Safeway,2024-03-08,,yes,Q1508234,Safeway,Mission Street,CA,"94110","3350",,San Francisco
w256912288,"256912288",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,Miraloma Market,,,retail,,,Portola Drive,,"94127","755",,San Francisco
w258157210,"258157210",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,Lo-cost Meat Market,,,yes,,,24th Street,CA,,"2918",,San Francisco
w260194579,"260194579",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,"Mo-Sa 07:30-20:00; Su 07:30-19:00; PH closed",Arguello Market,2025-04-27,"1",commercial,,,Arguello Boulevard,CA,"94118","782",,San Francisco
w260967541,"260967541",way,supermarket,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,+1-415-398-3288,"8",,,,,"Chef Bowl, Inc.",,"2",yes,,,Vallejo Street,CA,"94133","775;779",,San Francisco
w261292750,"261292750",way,supermarket,,,,,,,,,,,,Bi-Rite Market,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,https://biritemarket.com/,,,Bi-Rite Market,2025-09-17,,yes,,,Divisadero Street,,"94117","550",,
w263224863,"263224863",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,+1-415-567-4902,"9",,,,,Mollie Stone's,2025-12-09,,yes,,,California Street,CA,,"2435",US,San Francisco
w264202048,"264202048",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,Mo-Su 08:00-20:00,Roxie’s Market & Deli,,,commercial,,,Kirkham Street,,"94122","500",,San Francisco
w264371887,"264371887",way,supermarket,,,,,,,,,,,,Haight Street Market,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,"6","Grocery, product, deli, meats and fish",http://www.haightstreetmarket.com,,Mo-Su 07:00-21:30,Haight Street Market,2025-09-10,,yes,,,Haight Street,,"94117","1530",,
w264645161,"264645161",way,supermarket,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,yes,,"5",,,,Mo-Su 08:00-21:00,Luke's Local,2025-12-03,,retail,,,Cole Street,CA,"94117","960",US,San Francisco
w273331515,"273331515",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,"7",,,,"Mo-Sa 09:00-18:00; Su off",Bryan's Grocery,2024-08-18,,yes,,,California Street,CA,"94118","3445",,San Francisco
w276546465,"276546465",way,supermarket,,,,,,,,,,,Tower Market,,,,,,,,,,,,,,,,,,,,,,,,,yes,,"7",,,,"07:00-21:00",Mollie Stone's,,"1",retail,,,Portola Drive,CA,"94127","635",US,San Francisco
w276623337,"276623337",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,"7",,,,"Mo-Sa 07:30-19:00; Su 07:30-18:00",22nd & Irving Market,2025-12-14,"1",retail,,,Irving Street,CA,"94122","2101",US,San Francisco
w276814493,"276814493",way,supermarket,,,,,,,,,,asian,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,"8",,,,,25th Irving Market,2025-02-09,,yes,,,Irving Street,CA,"94122","2425",,San Francisco
w277743066,"277743066",way,supermarket,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,no,,,,+1 415 586 9999,,,https://canyonmarket.com/,,Mo-Su 07:00-20:00,Canyon Market,,,commercial,,,Diamond Street,CA,"94131","2815",,San Francisco
w277861419,"277861419",way,supermarket,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,info@otheravenues.coop,,,,,,,yes,+1-415-661-7475,,,https://otheravenues.coop,,"08:00-21:00",Other Avenues Grocery Co-op,2025-12-21,,yes,,,Judah Street,CA,"94122","3930",,San Francisco
w278909610,"278909610",way,supermarket,,,,,,,yes,yes,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,"6",,http://www.parksidefarmersmarket.com/,,"Mo-Sa 07:00-19:00; Su 07:00-18:00",Parkside Farmers Market,,,yes,,,Taraval Street,CA,"94116","555",US,San Francisco
w288678028,"288678028",way,supermarket,,,,,,SanfranQ_4133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,Sunset Super,2025-11-26,,yes,,,Vicente Street,CA,"94116","2801",US,San Francisco
w289560462,"289560462",way,supermarket,,,,Grocery Outlet Bargain Market,https://www.facebook.com/visitacionvalleygroceryou,,,,,,,,,,,,,,,,,,,,,,,,visitacionvalley@groceryoutlet.com,,,,,,Visitacion Valley,,+1 415-715-1030,"5",,,,"08:00-21:00",Grocery Outlet,,,yes,Q5609934,Grocery Outlet,Bayshore Boulevard,CA,"94134","2630",,San Francisco
w290044336,"290044336",way,supermarket,,,,Grocery Outlet Bargain Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-415-825-5678,"7",,,,Mo-Su 08:00-21:00,Grocery Outlet,,,yes,Q5609934,Grocery Outlet,Silver Avenue,,,"1390",,
w290616523,"290616523",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1 415-587-7200,"6",Safeway 0964,https://local.safeway.com/safeway/ca/san-francisco/4950-mission-st.html,,24/7,Safeway,,,yes,Q1508234,Safeway,Mission Street,CA,"94112","4950",,San Francisco
w293604057,"293604057",way,supermarket,,,"203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1 415-575-1120,,Safeway 1490,https://local.safeway.com/safeway/ca/san-francisco/2300-16th-st-unit-203.html,,"06:00-23:00",Safeway,2024-06-07,,retail,Q1508234,Safeway,16th Street,CA,"94102","2300",,San Francisco
w503144637,"503144637",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-415-337-7272,,,,,Mo-Su 09:00-19:30,Manila Oriental Market,,,yes,,,Mission Street,CA,"94112","4175",,San Francisco
w503427028,"503427028",way,supermarket,,,,Grocery Outlet Bargain Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-415-872-7170,,,https://groceryoutlet.com/circulars/storeid/306,,Mo-Su 08:00-20:00,Grocery Outlet,,,yes,Q5609934,Grocery Outlet,South Van Ness Avenue,CA,"94110","1245",,San Francisco
w624596716,"624596716",way,supermarket,,新美華超級市場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richmond New May Wah Supermarket,,,,,,,,,,,
w1105289817,"1105289817",way,supermarket,,,"100",,,,,,"0",,Market on Market,,,,,,,,,,,,,,,,,,,,,,,,,,+1 415-767-5130,,,https://www.visitthemarket.com/,,Mo-Fr 08:00-20:00,The Market,2025-12-02,,,,,Market Street,CA,"94103","1355",,San Francisco
w1156829796,"1156829796",way,supermarket,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,https://local.andronicos.com/ca/san-francisco/375-32nd-ave.html,,,Andronico's,,,yes,Q4759491,Andronico's,32nd Avenue,CA,"94121","375",,San Francisco
w1378825464,"1378825464",way,supermarket,+1-415-681-4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"755",,,,"7",,,,,Lucky,,,retail,Q6698032,Lucky,Sloat Boulevard,CA,"94132","1515",US,San Francisco
