"GEOID","NAME","group_0_17","group_18_34","group_35_49","group_50_up"
"06001409700","Census Tract 4097; Alameda County; California",1584,1385,1227,1347
"06001409800","Census Tract 4098; Alameda County; California",696,694,891,1089
"06001409900","Census Tract 4099; Alameda County; California",574,843,847,1505
"06001410000","Census Tract 4100; Alameda County; California",570,432,618,1496
"06001410100","Census Tract 4101; Alameda County; California",601,588,884,760
"06001410200","Census Tract 4102; Alameda County; California",799,730,859,1021
"06001410300","Census Tract 4103; Alameda County; California",1170,1220,864,839
"06001410400","Census Tract 4104; Alameda County; California",680,1003,751,1697
"06001410500","Census Tract 4105; Alameda County; California",727,709,588,726
"06001420100","Census Tract 4201; Alameda County; California",578,298,567,1193
"06001420401","Census Tract 4204.01; Alameda County; California",233,747,220,206
"06001420402","Census Tract 4204.02; Alameda County; California",124,1329,93,50
"06001420500","Census Tract 4205; Alameda County; California",652,352,653,805
"06001420600","Census Tract 4206; Alameda County; California",861,426,808,1385
"06001421100","Census Tract 4211; Alameda County; California",346,261,393,1214
"06001421200","Census Tract 4212; Alameda County; California",618,322,546,2102
"06001421300","Census Tract 4213; Alameda County; California",823,360,618,2330
"06001421400","Census Tract 4214; Alameda County; California",257,302,278,902
"06001421500","Census Tract 4215; Alameda County; California",697,609,862,1821
"06001421600","Census Tract 4216; Alameda County; California",641,776,662,1929
"06001421600","Census Tract 4216; Alameda County; California",641,776,662,1929
"06001421700","Census Tract 4217; Alameda County; California",368,1132,667,1179
"06001421800","Census Tract 4218; Alameda County; California",370,383,444,976
"06001421900","Census Tract 4219; Alameda County; California",992,652,1046,1420
"06001422000","Census Tract 4220; Alameda County; California",282,796,541,851
"06001422000","Census Tract 4220; Alameda County; California",282,796,541,851
"06001422100","Census Tract 4221; Alameda County; California",525,552,735,1215
"06001422200","Census Tract 4222; Alameda County; California",710,685,909,1009
"06001422300","Census Tract 4223; Alameda County; California",566,1330,481,1393
"06001422400","Census Tract 4224; Alameda County; California",185,2658,374,879
"06001422500","Census Tract 4225; Alameda County; California",157,2785,612,927
"06001422700","Census Tract 4227; Alameda County; California",98,4544,301,211
"06001422700","Census Tract 4227; Alameda County; California",98,4544,301,211
"06001422800","Census Tract 4228; Alameda County; California",181,9020,397,252
"06001422901","Census Tract 4229.01; Alameda County; California",35,1374,136,223
"06001422902","Census Tract 4229.02; Alameda County; California",113,1556,142,403
"06001423000","Census Tract 4230; Alameda County; California",462,1401,1078,1537
"06001423100","Census Tract 4231; Alameda County; California",667,907,824,1888
"06001423200","Census Tract 4232; Alameda County; California",494,951,711,893
"06001423300","Census Tract 4233; Alameda County; California",650,788,841,1344
"06001423400","Census Tract 4234; Alameda County; California",925,1697,1318,1278
"06001423500","Census Tract 4235; Alameda County; California",514,1484,622,1148
"06001423601","Census Tract 4236.01; Alameda County; California",305,800,439,1059
"06001423602","Census Tract 4236.02; Alameda County; California",345,3599,452,1225
"06001423700","Census Tract 4237; Alameda County; California",501,1542,456,882
"06001423700","Census Tract 4237; Alameda County; California",501,1542,456,882
"06001423800","Census Tract 4238; Alameda County; California",580,454,643,1720
"06001423800","Census Tract 4238; Alameda County; California",580,454,643,1720
"06001423901","Census Tract 4239.01; Alameda County; California",373,746,416,692
"06001423901","Census Tract 4239.01; Alameda County; California",373,746,416,692
"06001423902","Census Tract 4239.02; Alameda County; California",169,469,386,513
"06001423902","Census Tract 4239.02; Alameda County; California",169,469,386,513
"06001424001","Census Tract 4240.01; Alameda County; California",685,1519,729,1067
"06001424001","Census Tract 4240.01; Alameda County; California",685,1519,729,1067
"06001424002","Census Tract 4240.02; Alameda County; California",578,546,636,764
"06001424002","Census Tract 4240.02; Alameda County; California",578,546,636,764
"06001425101","Census Tract 4251.01; Alameda County; California",43,517,221,820
"06001425101","Census Tract 4251.01; Alameda County; California",43,517,221,820
"06001425102","Census Tract 4251.02; Alameda County; California",213,2543,915,386
"06001425102","Census Tract 4251.02; Alameda County; California",213,2543,915,386
"06001425103","Census Tract 4251.03; Alameda County; California",327,881,1223,568
"06001425103","Census Tract 4251.03; Alameda County; California",327,881,1223,568
"06001425104","Census Tract 4251.04; Alameda County; California",428,1870,617,1509
"06001426100","Census Tract 4261; Alameda County; California",1910,309,1468,2415
"06001426200","Census Tract 4262; Alameda County; California",1360,354,1068,2061
"06001427100","Census Tract 4271; Alameda County; California",972,373,1115,1576
"06001427200","Census Tract 4272; Alameda County; California",967,704,1146,1321
"06001427300","Census Tract 4273; Alameda County; California",1478,1251,1448,1379
"06001428301","Census Tract 4283.01; Alameda County; California",1736,663,1810,2409
"06001428700","Census Tract 4287; Alameda County; California",1653,1139,1399,1409
"06001428700","Census Tract 4287; Alameda County; California",1653,1139,1399,1409
"06001430102","Census Tract 4301.02; Alameda County; California",457,245,520,1203
"06001430400","Census Tract 4304; Alameda County; California",461,255,656,788
"06001432100","Census Tract 4321; Alameda County; California",914,888,765,1253
"06001432200","Census Tract 4322; Alameda County; California",772,652,1038,1442
"06001432300","Census Tract 4323; Alameda County; California",948,843,959,1950
"06001432400","Census Tract 4324; Alameda County; California",1291,1268,1308,1951
"06001432502","Census Tract 4325.02; Alameda County; California",932,1447,1149,1576
"06001432700","Census Tract 4327; Alameda County; California",354,442,532,1181
"06001432800","Census Tract 4328; Alameda County; California",740,426,935,1829
"06001981900","Census Tract 9819; Alameda County; California",0,0,24,9
"06001982000","Census Tract 9820; Alameda County; California",0,0,18,36
"06001982100","Census Tract 9821; Alameda County; California",26,1041,22,15
"06001982100","Census Tract 9821; Alameda County; California",26,1041,22,15
"06001983200","Census Tract 9832; Alameda County; California",38,511,311,360
"06075010101","Census Tract 101.01; San Francisco County; California",45,764,472,630
"06075010102","Census Tract 101.02; San Francisco County; California",303,334,541,739
"06075010201","Census Tract 102.01; San Francisco County; California",235,1193,348,874
"06075010202","Census Tract 102.02; San Francisco County; California",110,712,360,657
"06075010300","Census Tract 103; San Francisco County; California",220,1422,583,1599
"06075010401","Census Tract 104.01; San Francisco County; California",538,553,538,798
"06075010402","Census Tract 104.02; San Francisco County; California",137,559,416,812
"06075010500","Census Tract 105; San Francisco County; California",419,908,598,1548
"06075010600","Census Tract 106; San Francisco County; California",209,995,453,1300
"06075010701","Census Tract 107.01; San Francisco County; California",84,368,250,2319
"06075010702","Census Tract 107.02; San Francisco County; California",131,347,266,654
"06075010800","Census Tract 108; San Francisco County; California",71,1214,1118,1644
"06075010901","Census Tract 109.01; San Francisco County; California",155,985,456,471
"06075010902","Census Tract 109.02; San Francisco County; California",197,1086,471,835
"06075011001","Census Tract 110.01; San Francisco County; California",54,1139,300,909
"06075011002","Census Tract 110.02; San Francisco County; California",157,609,454,772
"06075011101","Census Tract 111.01; San Francisco County; California",102,847,479,1049
"06075011102","Census Tract 111.02; San Francisco County; California",73,765,613,756
"06075011200","Census Tract 112; San Francisco County; California",88,943,368,1277
"06075011300","Census Tract 113; San Francisco County; California",212,748,416,1213
"06075011700","Census Tract 117; San Francisco County; California",193,224,616,881
"06075011800","Census Tract 118; San Francisco County; California",104,327,171,774
"06075011901","Census Tract 119.01; San Francisco County; California",143,653,616,610
"06075011902","Census Tract 119.02; San Francisco County; California",187,1246,573,1026
"06075012001","Census Tract 120.01; San Francisco County; California",107,740,379,520
"06075012002","Census Tract 120.02; San Francisco County; California",158,883,625,460
"06075012100","Census Tract 121; San Francisco County; California",51,1408,632,1112
"06075012202","Census Tract 122.02; San Francisco County; California",184,828,671,1232
"06075012203","Census Tract 122.03; San Francisco County; California",176,172,490,686
"06075012204","Census Tract 122.04; San Francisco County; California",156,921,606,888
"06075012301","Census Tract 123.01; San Francisco County; California",188,339,343,1054
"06075012302","Census Tract 123.02; San Francisco County; California",146,772,737,1045
"06075012403","Census Tract 124.03; San Francisco County; California",390,330,658,1103
"06075012404","Census Tract 124.04; San Francisco County; California",55,730,509,1420
"06075012405","Census Tract 124.05; San Francisco County; California",270,1896,1044,554
"06075012406","Census Tract 124.06; San Francisco County; California",0,366,380,783
"06075012502","Census Tract 125.02; San Francisco County; California",305,468,971,2773
"06075012503","Census Tract 125.03; San Francisco County; California",429,1151,1309,1883
"06075012504","Census Tract 125.04; San Francisco County; California",23,96,148,426
"06075012601","Census Tract 126.01; San Francisco County; California",221,956,432,496
"06075012602","Census Tract 126.02; San Francisco County; California",367,1463,716,525
"06075012700","Census Tract 127; San Francisco County; California",728,1659,517,1123
"06075012801","Census Tract 128.01; San Francisco County; California",484,799,379,906
"06075012802","Census Tract 128.02; San Francisco County; California",152,933,357,413
"06075012901","Census Tract 129.01; San Francisco County; California",361,1482,573,414
"06075012902","Census Tract 129.02; San Francisco County; California",124,1372,405,688
"06075013001","Census Tract 130.01; San Francisco County; California",57,668,284,418
"06075013002","Census Tract 130.02; San Francisco County; California",624,879,831,509
"06075013101","Census Tract 131.01; San Francisco County; California",269,1755,638,1106
"06075013102","Census Tract 131.02; San Francisco County; California",253,885,621,791
"06075013200","Census Tract 132; San Francisco County; California",365,701,659,1756
"06075013300","Census Tract 133; San Francisco County; California",705,871,628,1748
"06075013401","Census Tract 134.01; San Francisco County; California",85,562,187,556
"06075013402","Census Tract 134.02; San Francisco County; California",235,709,625,851
"06075013500","Census Tract 135; San Francisco County; California",285,1019,691,812
"06075015100","Census Tract 151; San Francisco County; California",121,885,593,1042
"06075015201","Census Tract 152.01; San Francisco County; California",109,564,415,527
"06075015202","Census Tract 152.02; San Francisco County; California",189,906,359,959
"06075015300","Census Tract 153; San Francisco County; California",224,1084,418,651
"06075015401","Census Tract 154.01; San Francisco County; California",329,1044,657,1175
"06075015402","Census Tract 154.02; San Francisco County; California",474,465,975,774
"06075015500","Census Tract 155; San Francisco County; California",199,1255,526,2031
"06075015600","Census Tract 156; San Francisco County; California",224,1007,498,1235
"06075015701","Census Tract 157.01; San Francisco County; California",319,2943,626,889
"06075015702","Census Tract 157.02; San Francisco County; California",346,1144,814,776
"06075015801","Census Tract 158.01; San Francisco County; California",598,979,812,995
"06075015802","Census Tract 158.02; San Francisco County; California",138,1563,628,766
"06075015900","Census Tract 159; San Francisco County; California",763,1139,1148,1811
"06075016000","Census Tract 160; San Francisco County; California",106,771,628,1387
"06075016101","Census Tract 161.01; San Francisco County; California",154,673,296,1303
"06075016102","Census Tract 161.02; San Francisco County; California",511,288,561,1629
"06075016200","Census Tract 162; San Francisco County; California",109,1479,634,987
"06075016300","Census Tract 163; San Francisco County; California",340,1549,1001,1035
"06075016400","Census Tract 164; San Francisco County; California",326,1585,893,767
"06075016500","Census Tract 165; San Francisco County; California",350,2229,1205,1422
"06075016601","Census Tract 166.01; San Francisco County; California",212,938,846,840
"06075016602","Census Tract 166.02; San Francisco County; California",162,984,415,351
"06075016700","Census Tract 167; San Francisco County; California",333,2149,1437,933
"06075016801","Census Tract 168.01; San Francisco County; California",609,1146,1391,1077
"06075016802","Census Tract 168.02; San Francisco County; California",202,2056,751,934
"06075016900","Census Tract 169; San Francisco County; California",318,902,714,955
"06075017000","Census Tract 170; San Francisco County; California",401,799,1106,1755
"06075017101","Census Tract 171.01; San Francisco County; California",860,1397,666,1080
"06075017102","Census Tract 171.02; San Francisco County; California",405,1216,659,885
"06075017602","Census Tract 176.02; San Francisco County; California",314,884,1313,1049
"06075017603","Census Tract 176.03; San Francisco County; California",619,1766,1050,1529
"06075017604","Census Tract 176.04; San Francisco County; California",253,2037,730,945
"06075017700","Census Tract 177; San Francisco County; California",376,898,907,765
"06075017801","Census Tract 178.01; San Francisco County; California",0,562,367,2090
"06075017803","Census Tract 178.03; San Francisco County; California",270,790,436,919
"06075017804","Census Tract 178.04; San Francisco County; California",189,1745,1236,1210
"06075017903","Census Tract 179.03; San Francisco County; California",356,879,686,508
"06075018000","Census Tract 180; San Francisco County; California",365,1369,1028,730
"06075020101","Census Tract 201.01; San Francisco County; California",394,1372,1012,1165
"06075020102","Census Tract 201.02; San Francisco County; California",412,390,1359,1302
"06075020201","Census Tract 202.01; San Francisco County; California",107,665,457,676
"06075020202","Census Tract 202.02; San Francisco County; California",214,1777,1014,974
"06075020300","Census Tract 203; San Francisco County; California",204,1083,896,1236
"06075020401","Census Tract 204.01; San Francisco County; California",268,1179,701,1252
"06075020402","Census Tract 204.02; San Francisco County; California",202,1018,1200,1641
"06075020500","Census Tract 205; San Francisco County; California",413,552,874,950
"06075020601","Census Tract 206.01; San Francisco County; California",284,776,763,1184
"06075020602","Census Tract 206.02; San Francisco County; California",176,403,413,1387
"06075020701","Census Tract 207.01; San Francisco County; California",319,1085,1136,817
"06075020702","Census Tract 207.02; San Francisco County; California",183,607,575,630
"06075020801","Census Tract 208.01; San Francisco County; California",650,1048,891,1178
"06075020802","Census Tract 208.02; San Francisco County; California",163,730,680,615
"06075020900","Census Tract 209; San Francisco County; California",418,1169,1129,1030
"06075021000","Census Tract 210; San Francisco County; California",521,789,1342,957
"06075021100","Census Tract 211; San Francisco County; California",626,1041,1044,1375
"06075021200","Census Tract 212; San Francisco County; California",488,653,731,1045
"06075021300","Census Tract 213; San Francisco County; California",390,374,812,851
"06075021400","Census Tract 214; San Francisco County; California",385,990,943,1142
"06075021500","Census Tract 215; San Francisco County; California",753,1377,1496,1555
"06075021600","Census Tract 216; San Francisco County; California",841,735,1444,1511
"06075021700","Census Tract 217; San Francisco County; California",1046,634,1008,1744
"06075021800","Census Tract 218; San Francisco County; California",651,787,1412,1358
"06075022600","Census Tract 226; San Francisco County; California",358,2330,1231,533
"06075022702","Census Tract 227.02; San Francisco County; California",176,859,432,493
"06075022704","Census Tract 227.04; San Francisco County; California",757,1192,923,1154
"06075022801","Census Tract 228.01; San Francisco County; California",597,1297,1318,1553
"06075022802","Census Tract 228.02; San Francisco County; California",295,558,482,768
"06075022803","Census Tract 228.03; San Francisco County; California",905,1025,1200,987
"06075022901","Census Tract 229.01; San Francisco County; California",824,1468,1320,930
"06075022902","Census Tract 229.02; San Francisco County; California",344,431,595,521
"06075022903","Census Tract 229.03; San Francisco County; California",373,855,821,749
"06075023001","Census Tract 230.01; San Francisco County; California",780,1094,1306,1928
"06075023003","Census Tract 230.03; San Francisco County; California",642,453,1079,1638
"06075023102","Census Tract 231.02; San Francisco County; California",934,643,630,1024
"06075023103","Census Tract 231.03; San Francisco County; California",1671,1029,702,1143
"06075023200","Census Tract 232; San Francisco County; California",897,678,662,1333
"06075023300","Census Tract 233; San Francisco County; California",654,638,849,1677
"06075023400","Census Tract 234; San Francisco County; California",911,812,676,1137
"06075025100","Census Tract 251; San Francisco County; California",686,608,1237,973
"06075025200","Census Tract 252; San Francisco County; California",1052,630,1132,2601
"06075025300","Census Tract 253; San Francisco County; California",532,1301,922,1547
"06075025401","Census Tract 254.01; San Francisco County; California",974,546,985,1062
"06075025402","Census Tract 254.02; San Francisco County; California",424,538,625,1314
"06075025403","Census Tract 254.03; San Francisco County; California",875,754,1248,1533
"06075025501","Census Tract 255.01; San Francisco County; California",1127,927,918,1263
"06075025502","Census Tract 255.02; San Francisco County; California",560,703,1099,1377
"06075025600","Census Tract 256; San Francisco County; California",1027,1187,1022,2183
"06075025701","Census Tract 257.01; San Francisco County; California",877,955,1072,1700
"06075025702","Census Tract 257.02; San Francisco County; California",1147,406,1174,1818
"06075025800","Census Tract 258; San Francisco County; California",151,365,267,820
"06075025900","Census Tract 259; San Francisco County; California",687,661,1135,1551
"06075026001","Census Tract 260.01; San Francisco County; California",703,1568,1555,1799
"06075026002","Census Tract 260.02; San Francisco County; California",668,379,984,1610
"06075026003","Census Tract 260.03; San Francisco County; California",1066,613,1103,1857
"06075026004","Census Tract 260.04; San Francisco County; California",517,892,936,1495
"06075026100","Census Tract 261; San Francisco County; California",1388,1122,1674,2627
"06075026201","Census Tract 262.01; San Francisco County; California",743,1029,624,1460
"06075026202","Census Tract 262.02; San Francisco County; California",558,629,996,1523
"06075026301","Census Tract 263.01; San Francisco County; California",909,1157,779,2174
"06075026302","Census Tract 263.02; San Francisco County; California",493,1032,669,2108
"06075026303","Census Tract 263.03; San Francisco County; California",708,872,1036,1984
"06075026401","Census Tract 264.01; San Francisco County; California",677,412,853,1252
"06075026402","Census Tract 264.02; San Francisco County; California",674,960,1024,2002
"06075026403","Census Tract 264.03; San Francisco County; California",484,763,673,1765
"06075026404","Census Tract 264.04; San Francisco County; California",471,482,478,991
"06075030101","Census Tract 301.01; San Francisco County; California",378,2017,844,1150
"06075030102","Census Tract 301.02; San Francisco County; California",524,2101,977,1518
"06075030201","Census Tract 302.01; San Francisco County; California",600,891,892,1458
"06075030202","Census Tract 302.02; San Francisco County; California",488,1141,808,1645
"06075030301","Census Tract 303.01; San Francisco County; California",994,1512,1163,2491
"06075030302","Census Tract 303.02; San Francisco County; California",550,864,677,1461
"06075030400","Census Tract 304; San Francisco County; California",807,492,1038,2779
"06075030500","Census Tract 305; San Francisco County; California",542,532,640,1927
"06075030600","Census Tract 306; San Francisco County; California",432,297,548,981
"06075030700","Census Tract 307; San Francisco County; California",1409,692,1513,3010
"06075030800","Census Tract 308; San Francisco County; California",1053,1275,1114,2252
"06075030900","Census Tract 309; San Francisco County; California",1483,672,1387,3006
"06075031000","Census Tract 310; San Francisco County; California",767,734,812,2061
"06075031100","Census Tract 311; San Francisco County; California",676,1786,1125,2486
"06075031201","Census Tract 312.01; San Francisco County; California",835,1414,1238,2689
"06075031202","Census Tract 312.02; San Francisco County; California",510,628,686,1045
"06075031301","Census Tract 313.01; San Francisco County; California",474,901,752,1570
"06075031302","Census Tract 313.02; San Francisco County; California",696,1245,885,2064
"06075031401","Census Tract 314.01; San Francisco County; California",538,414,730,851
"06075031402","Census Tract 314.02; San Francisco County; California",801,866,970,1562
"06075032601","Census Tract 326.01; San Francisco County; California",452,1257,1088,1541
"06075032602","Census Tract 326.02; San Francisco County; California",638,978,775,1727
"06075032700","Census Tract 327; San Francisco County; California",790,1125,1418,3240
"06075032801","Census Tract 328.01; San Francisco County; California",615,788,658,1960
"06075032802","Census Tract 328.02; San Francisco County; California",621,817,759,2071
"06075032901","Census Tract 329.01; San Francisco County; California",1478,944,1360,2231
"06075032902","Census Tract 329.02; San Francisco County; California",524,507,567,2122
"06075033001","Census Tract 330.01; San Francisco County; California",600,650,707,1954
"06075033002","Census Tract 330.02; San Francisco County; California",655,710,850,1800
"06075033100","Census Tract 331; San Francisco County; California",869,346,763,1777
"06075033201","Census Tract 332.01; San Francisco County; California",75,2638,147,456
"06075033203","Census Tract 332.03; San Francisco County; California",531,661,784,919
"06075033204","Census Tract 332.04; San Francisco County; California",553,773,808,1682
"06075035101","Census Tract 351.01; San Francisco County; California",502,632,1123,1491
"06075035102","Census Tract 351.02; San Francisco County; California",739,594,759,1663
"06075035201","Census Tract 352.01; San Francisco County; California",710,884,1185,2241
"06075035202","Census Tract 352.02; San Francisco County; California",796,773,1117,1502
"06075035300","Census Tract 353; San Francisco County; California",1016,987,1851,2671
"06075035400","Census Tract 354; San Francisco County; California",1417,1634,1215,2874
"06075040100","Census Tract 401; San Francisco County; California",691,1174,995,1455
"06075040200","Census Tract 402; San Francisco County; California",744,1100,1054,1821
"06075042601","Census Tract 426.01; San Francisco County; California",535,948,1144,1715
"06075042602","Census Tract 426.02; San Francisco County; California",701,756,817,928
"06075042700","Census Tract 427; San Francisco County; California",713,1084,970,2367
"06075042800","Census Tract 428; San Francisco County; California",518,331,421,1201
"06075045100","Census Tract 451; San Francisco County; California",714,1621,1166,1212
"06075045201","Census Tract 452.01; San Francisco County; California",513,507,694,1331
"06075045202","Census Tract 452.02; San Francisco County; California",723,734,807,1068
"06075047600","Census Tract 476; San Francisco County; California",853,1061,1145,2039
"06075047701","Census Tract 477.01; San Francisco County; California",767,1219,1045,1693
"06075047702","Census Tract 477.02; San Francisco County; California",356,596,605,1578
"06075047801","Census Tract 478.01; San Francisco County; California",603,825,1012,1692
"06075047802","Census Tract 478.02; San Francisco County; California",636,718,783,1444
"06075047902","Census Tract 479.02; San Francisco County; California",306,643,716,1571
"06075047903","Census Tract 479.03; San Francisco County; California",366,887,531,1564
"06075047904","Census Tract 479.04; San Francisco County; California",494,632,759,1192
"06075060100","Census Tract 601; San Francisco County; California",1157,1135,957,652
"06075060400","Census Tract 604; San Francisco County; California",340,404,477,714
"06075060502","Census Tract 605.02; San Francisco County; California",632,582,487,894
"06075060701","Census Tract 607.01; San Francisco County; California",1259,3945,2206,1192
"06075060702","Census Tract 607.02; San Francisco County; California",332,1043,704,529
