"GEOID","NAME","below_high_school","high_school_grad","some_college_assoc","bachelors_plus"
"06001404000","Census Tract 4040; Alameda County; California",167,145,335,1768
"06001404101","Census Tract 4041.01; Alameda County; California",59,159,390,2166
"06001404102","Census Tract 4041.02; Alameda County; California",48,167,391,1665
"06001404200","Census Tract 4042; Alameda County; California",78,49,288,2139
"06001404300","Census Tract 4043; Alameda County; California",0,105,265,2239
"06001404300","Census Tract 4043; Alameda County; California",0,105,265,2239
"06001404400","Census Tract 4044; Alameda County; California",77,151,342,3746
"06001404501","Census Tract 4045.01; Alameda County; California",57,110,133,1062
"06001404502","Census Tract 4045.02; Alameda County; California",27,173,435,4202
"06001404600","Census Tract 4046; Alameda County; California",88,179,437,3067
"06001404700","Census Tract 4047; Alameda County; California",9,42,236,1448
"06001404800","Census Tract 4048; Alameda County; California",143,73,386,1460
"06001404900","Census Tract 4049; Alameda County; California",240,255,672,2500
"06001405000","Census Tract 4050; Alameda County; California",106,236,541,1792
"06001405100","Census Tract 4051; Alameda County; California",9,159,411,2694
"06001405200","Census Tract 4052; Alameda County; California",183,463,738,2893
"06001405301","Census Tract 4053.01; Alameda County; California",99,235,387,1903
"06001405302","Census Tract 4053.02; Alameda County; California",230,295,424,1315
"06001405401","Census Tract 4054.01; Alameda County; California",539,376,701,1404
"06001405402","Census Tract 4054.02; Alameda County; California",687,459,549,648
"06001405500","Census Tract 4055; Alameda County; California",423,601,889,1211
"06001405600","Census Tract 4056; Alameda County; California",380,241,617,1506
"06001405700","Census Tract 4057; Alameda County; California",622,436,727,982
"06001405800","Census Tract 4058; Alameda County; California",1010,865,729,663
"06001405901","Census Tract 4059.01; Alameda County; California",833,670,782,372
"06001405902","Census Tract 4059.02; Alameda County; California",647,450,427,646
"06001406000","Census Tract 4060; Alameda County; California",1231,653,1030,1146
"06001406100","Census Tract 4061; Alameda County; California",1045,804,1035,1325
"06001406201","Census Tract 4062.01; Alameda County; California",1246,961,710,616
"06001406202","Census Tract 4062.02; Alameda County; California",1418,517,773,729
"06001406300","Census Tract 4063; Alameda County; California",836,586,751,857
"06001406400","Census Tract 4064; Alameda County; California",393,368,356,637
"06001406500","Census Tract 4065; Alameda County; California",1020,852,1121,1356
"06001406601","Census Tract 4066.01; Alameda County; California",325,826,872,1272
"06001406602","Census Tract 4066.02; Alameda County; California",406,401,370,729
"06001406700","Census Tract 4067; Alameda County; California",439,522,780,2499
"06001406800","Census Tract 4068; Alameda County; California",282,289,600,1673
"06001406900","Census Tract 4069; Alameda County; California",127,166,675,2101
"06001407000","Census Tract 4070; Alameda County; California",1434,800,1086,1341
"06001407101","Census Tract 4071.01; Alameda County; California",611,873,420,642
"06001407102","Census Tract 4071.02; Alameda County; California",608,839,600,589
"06001407200","Census Tract 4072; Alameda County; California",1568,1110,817,975
"06001407300","Census Tract 4073; Alameda County; California",613,299,355,455
"06001407400","Census Tract 4074; Alameda County; California",712,848,932,564
"06001407500","Census Tract 4075; Alameda County; California",720,385,416,603
"06001407600","Census Tract 4076; Alameda County; California",918,724,1064,1401
"06001407700","Census Tract 4077; Alameda County; California",183,518,580,1793
"06001407800","Census Tract 4078; Alameda County; California",281,104,251,878
"06001407900","Census Tract 4079; Alameda County; California",67,205,619,1356
"06001408000","Census Tract 4080; Alameda County; California",11,117,253,1616
"06001408100","Census Tract 4081; Alameda County; California",237,384,899,4268
"06001408200","Census Tract 4082; Alameda County; California",314,387,937,1570
"06001408300","Census Tract 4083; Alameda County; California",213,624,863,2009
"06001408400","Census Tract 4084; Alameda County; California",765,643,693,546
"06001408500","Census Tract 4085; Alameda County; California",983,893,979,634
"06001408600","Census Tract 4086; Alameda County; California",1008,894,1168,996
"06001408700","Census Tract 4087; Alameda County; California",1020,1717,864,1331
"06001408800","Census Tract 4088; Alameda County; California",1428,1228,1344,500
"06001408900","Census Tract 4089; Alameda County; California",1194,730,650,158
"06001409000","Census Tract 4090; Alameda County; California",959,861,594,355
"06001409100","Census Tract 4091; Alameda County; California",555,394,554,219
"06001409200","Census Tract 4092; Alameda County; California",755,645,525,451
"06001409300","Census Tract 4093; Alameda County; California",1044,1437,721,388
"06001409400","Census Tract 4094; Alameda County; California",1141,1005,455,403
"06001409500","Census Tract 4095; Alameda County; California",1060,965,469,304
"06001409600","Census Tract 4096; Alameda County; California",1234,1080,643,500
"06001409700","Census Tract 4097; Alameda County; California",995,973,1018,447
"06001409800","Census Tract 4098; Alameda County; California",202,369,861,1021
"06001409900","Census Tract 4099; Alameda County; California",74,313,623,1851
"06001410000","Census Tract 4100; Alameda County; California",167,372,547,1357
"06001410100","Census Tract 4101; Alameda County; California",227,561,512,671
"06001410200","Census Tract 4102; Alameda County; California",696,630,752,286
"06001410300","Census Tract 4103; Alameda County; California",1122,720,408,178
"06001410400","Census Tract 4104; Alameda County; California",583,829,770,773
"06001410500","Census Tract 4105; Alameda County; California",295,442,646,432
"06001420100","Census Tract 4201; Alameda County; California",57,259,219,1451
"06001420401","Census Tract 4204.01; Alameda County; California",46,22,84,607
"06001420402","Census Tract 4204.02; Alameda County; California",0,23,88,852
"06001420500","Census Tract 4205; Alameda County; California",62,76,263,1282
"06001420600","Census Tract 4206; Alameda County; California",26,66,242,2120
"06001421100","Census Tract 4211; Alameda County; California",24,69,91,1546
"06001421200","Census Tract 4212; Alameda County; California",23,89,175,2611
"06001421300","Census Tract 4213; Alameda County; California",41,104,271,2666
"06001421400","Census Tract 4214; Alameda County; California",11,87,114,1164
"06001421500","Census Tract 4215; Alameda County; California",85,100,308,2534
"06001421600","Census Tract 4216; Alameda County; California",19,103,145,2749
"06001421600","Census Tract 4216; Alameda County; California",19,103,145,2749
"06001421700","Census Tract 4217; Alameda County; California",38,52,359,2123
"06001421800","Census Tract 4218; Alameda County; California",36,58,144,1520
"06001421900","Census Tract 4219; Alameda County; California",16,159,347,2448
"06001422000","Census Tract 4220; Alameda County; California",130,107,437,1413
"06001422000","Census Tract 4220; Alameda County; California",130,107,437,1413
"06001422100","Census Tract 4221; Alameda County; California",153,254,377,1583
"06001422200","Census Tract 4222; Alameda County; California",174,127,367,1767
"06001422300","Census Tract 4223; Alameda County; California",95,249,434,1944
"06001422400","Census Tract 4224; Alameda County; California",89,41,187,2504
"06001422500","Census Tract 4225; Alameda County; California",214,259,284,1465
"06001422700","Census Tract 4227; Alameda County; California",24,35,135,1009
"06001422700","Census Tract 4227; Alameda County; California",24,35,135,1009
"06001422800","Census Tract 4228; Alameda County; California",28,70,206,973
"06001422901","Census Tract 4229.01; Alameda County; California",0,11,94,536
"06001422902","Census Tract 4229.02; Alameda County; California",20,71,354,566
"06001423000","Census Tract 4230; Alameda County; California",87,107,439,2742
"06001423100","Census Tract 4231; Alameda County; California",192,738,434,1807
"06001423200","Census Tract 4232; Alameda County; California",385,356,270,1037
"06001423300","Census Tract 4233; Alameda County; California",151,469,637,1501
"06001423400","Census Tract 4234; Alameda County; California",175,358,873,2574
"06001423500","Census Tract 4235; Alameda County; California",130,163,503,1959
"06001423601","Census Tract 4236.01; Alameda County; California",71,69,348,1558
"06001423602","Census Tract 4236.02; Alameda County; California",123,105,759,1675
"06001423700","Census Tract 4237; Alameda County; California",9,128,203,1415
"06001423700","Census Tract 4237; Alameda County; California",9,128,203,1415
"06001423800","Census Tract 4238; Alameda County; California",57,48,246,2324
"06001423800","Census Tract 4238; Alameda County; California",57,48,246,2324
"06001423901","Census Tract 4239.01; Alameda County; California",108,81,213,1235
"06001423901","Census Tract 4239.01; Alameda County; California",108,81,213,1235
"06001423902","Census Tract 4239.02; Alameda County; California",29,37,95,939
"06001423902","Census Tract 4239.02; Alameda County; California",29,37,95,939
"06001424001","Census Tract 4240.01; Alameda County; California",277,157,529,1774
"06001424001","Census Tract 4240.01; Alameda County; California",277,157,529,1774
"06001424002","Census Tract 4240.02; Alameda County; California",156,93,544,1031
"06001424002","Census Tract 4240.02; Alameda County; California",156,93,544,1031
"06001425101","Census Tract 4251.01; Alameda County; California",7,74,457,967
"06001425101","Census Tract 4251.01; Alameda County; California",7,74,457,967
"06001425102","Census Tract 4251.02; Alameda County; California",79,339,384,2571
"06001425102","Census Tract 4251.02; Alameda County; California",79,339,384,2571
"06001425103","Census Tract 4251.03; Alameda County; California",39,130,500,1844
"06001425103","Census Tract 4251.03; Alameda County; California",39,130,500,1844
"06001425104","Census Tract 4251.04; Alameda County; California",168,387,705,2442
"06001426100","Census Tract 4261; Alameda County; California",0,115,277,3668
"06001426200","Census Tract 4262; Alameda County; California",74,151,236,2841
"06001427100","Census Tract 4271; Alameda County; California",156,188,676,1865
"06001427200","Census Tract 4272; Alameda County; California",182,378,780,1572
"06001427300","Census Tract 4273; Alameda County; California",150,395,875,2364
"06001428301","Census Tract 4283.01; Alameda County; California",456,323,655,3121
"06001428700","Census Tract 4287; Alameda County; California",251,489,729,2152
"06001428700","Census Tract 4287; Alameda County; California",251,489,729,2152
"06001430102","Census Tract 4301.02; Alameda County; California",167,223,447,1010
"06001430400","Census Tract 4304; Alameda County; California",51,168,317,1092
"06001432100","Census Tract 4321; Alameda County; California",234,301,516,1492
"06001432200","Census Tract 4322; Alameda County; California",299,632,917,1034
"06001432300","Census Tract 4323; Alameda County; California",415,488,906,1681
"06001432400","Census Tract 4324; Alameda County; California",1062,1191,1202,583
"06001432502","Census Tract 4325.02; Alameda County; California",558,747,972,1282
"06001432700","Census Tract 4327; Alameda County; California",226,477,420,835
"06001432800","Census Tract 4328; Alameda County; California",245,483,843,1428
"06001981900","Census Tract 9819; Alameda County; California",0,5,0,28
"06001982000","Census Tract 9820; Alameda County; California",0,0,5,49
"06001982100","Census Tract 9821; Alameda County; California",0,0,7,102
"06001982100","Census Tract 9821; Alameda County; California",0,0,7,102
"06001983200","Census Tract 9832; Alameda County; California",14,33,179,897
"06075010101","Census Tract 101.01; San Francisco County; California",192,35,341,1121
"06075010102","Census Tract 101.02; San Francisco County; California",189,187,369,784
"06075010201","Census Tract 102.01; San Francisco County; California",53,67,403,1717
"06075010202","Census Tract 102.02; San Francisco County; California",11,22,165,1369
"06075010300","Census Tract 103; San Francisco County; California",217,155,321,2667
"06075010401","Census Tract 104.01; San Francisco County; California",113,177,143,1323
"06075010402","Census Tract 104.02; San Francisco County; California",63,46,169,1449
"06075010500","Census Tract 105; San Francisco County; California",309,352,201,2033
"06075010600","Census Tract 106; San Francisco County; California",401,279,753,1080
"06075010701","Census Tract 107.01; San Francisco County; California",1483,661,306,327
"06075010702","Census Tract 107.02; San Francisco County; California",199,220,115,554
"06075010800","Census Tract 108; San Francisco County; California",387,244,234,2872
"06075010901","Census Tract 109.01; San Francisco County; California",30,17,113,1484
"06075010902","Census Tract 109.02; San Francisco County; California",188,143,287,1573
"06075011001","Census Tract 110.01; San Francisco County; California",223,142,236,1478
"06075011002","Census Tract 110.02; San Francisco County; California",132,297,323,909
"06075011101","Census Tract 111.01; San Francisco County; California",342,297,264,1136
"06075011102","Census Tract 111.02; San Francisco County; California",381,314,349,966
"06075011200","Census Tract 112; San Francisco County; California",138,184,360,1566
"06075011300","Census Tract 113; San Francisco County; California",830,215,334,821
"06075011700","Census Tract 117; San Francisco County; California",230,220,291,942
"06075011800","Census Tract 118; San Francisco County; California",478,274,87,329
"06075011901","Census Tract 119.01; San Francisco County; California",77,162,415,961
"06075011902","Census Tract 119.02; San Francisco County; California",435,352,440,1381
"06075012001","Census Tract 120.01; San Francisco County; California",104,109,472,787
"06075012002","Census Tract 120.02; San Francisco County; California",160,137,354,1075
"06075012100","Census Tract 121; San Francisco County; California",223,281,345,1632
"06075012202","Census Tract 122.02; San Francisco County; California",243,694,808,966
"06075012203","Census Tract 122.03; San Francisco County; California",338,53,424,488
"06075012204","Census Tract 122.04; San Francisco County; California",326,207,522,1233
"06075012301","Census Tract 123.01; San Francisco County; California",523,322,546,298
"06075012302","Census Tract 123.02; San Francisco County; California",305,452,632,1013
"06075012403","Census Tract 124.03; San Francisco County; California",925,344,224,387
"06075012404","Census Tract 124.04; San Francisco County; California",748,510,710,562
"06075012405","Census Tract 124.05; San Francisco County; California",71,327,377,2400
"06075012406","Census Tract 124.06; San Francisco County; California",466,257,245,468
"06075012502","Census Tract 125.02; San Francisco County; California",1776,778,965,510
"06075012503","Census Tract 125.03; San Francisco County; California",1135,1107,954,781
"06075012504","Census Tract 125.04; San Francisco County; California",259,162,159,79
"06075012601","Census Tract 126.01; San Francisco County; California",50,106,134,1448
"06075012602","Census Tract 126.02; San Francisco County; California",87,42,109,2183
"06075012700","Census Tract 127; San Francisco County; California",101,201,349,2454
"06075012801","Census Tract 128.01; San Francisco County; California",132,67,245,1366
"06075012802","Census Tract 128.02; San Francisco County; California",7,34,110,1467
"06075012901","Census Tract 129.01; San Francisco County; California",58,63,115,2026
"06075012902","Census Tract 129.02; San Francisco County; California",0,157,419,1657
"06075013001","Census Tract 130.01; San Francisco County; California",40,34,115,1085
"06075013002","Census Tract 130.02; San Francisco County; California",25,27,78,1892
"06075013101","Census Tract 131.01; San Francisco County; California",161,45,379,2711
"06075013102","Census Tract 131.02; San Francisco County; California",11,39,250,1887
"06075013200","Census Tract 132; San Francisco County; California",61,112,338,2579
"06075013300","Census Tract 133; San Francisco County; California",177,133,287,2421
"06075013401","Census Tract 134.01; San Francisco County; California",7,47,122,1102
"06075013402","Census Tract 134.02; San Francisco County; California",35,33,295,1730
"06075013500","Census Tract 135; San Francisco County; California",88,77,186,1968
"06075015100","Census Tract 151; San Francisco County; California",64,59,418,1900
"06075015201","Census Tract 152.01; San Francisco County; California",46,128,196,1010
"06075015202","Census Tract 152.02; San Francisco County; California",47,171,450,1300
"06075015300","Census Tract 153; San Francisco County; California",0,141,203,1723
"06075015401","Census Tract 154.01; San Francisco County; California",11,56,309,2305
"06075015402","Census Tract 154.02; San Francisco County; California",0,115,325,1705
"06075015500","Census Tract 155; San Francisco County; California",299,418,404,2241
"06075015600","Census Tract 156; San Francisco County; California",264,150,322,1409
"06075015701","Census Tract 157.01; San Francisco County; California",63,278,287,1889
"06075015702","Census Tract 157.02; San Francisco County; California",97,45,330,2088
"06075015801","Census Tract 158.01; San Francisco County; California",134,302,500,1619
"06075015802","Census Tract 158.02; San Francisco County; California",86,131,208,2264
"06075015900","Census Tract 159; San Francisco County; California",511,495,669,1966
"06075016000","Census Tract 160; San Francisco County; California",351,341,477,1533
"06075016101","Census Tract 161.01; San Francisco County; California",108,292,511,1280
"06075016102","Census Tract 161.02; San Francisco County; California",520,820,638,405
"06075016200","Census Tract 162; San Francisco County; California",233,270,381,1820
"06075016300","Census Tract 163; San Francisco County; California",49,256,594,2312
"06075016400","Census Tract 164; San Francisco County; California",114,139,285,2566
"06075016500","Census Tract 165; San Francisco County; California",372,504,680,3070
"06075016601","Census Tract 166.01; San Francisco County; California",63,106,260,2094
"06075016602","Census Tract 166.02; San Francisco County; California",0,41,150,1496
"06075016700","Census Tract 167; San Francisco County; California",76,160,587,3322
"06075016801","Census Tract 168.01; San Francisco County; California",277,314,493,2329
"06075016802","Census Tract 168.02; San Francisco County; California",219,278,919,1842
"06075016900","Census Tract 169; San Francisco County; California",73,206,288,1760
"06075017000","Census Tract 170; San Francisco County; California",15,211,198,3175
"06075017101","Census Tract 171.01; San Francisco County; California",32,89,339,2497
"06075017102","Census Tract 171.02; San Francisco County; California",98,114,190,2063
"06075017602","Census Tract 176.02; San Francisco County; California",377,627,975,1032
"06075017603","Census Tract 176.03; San Francisco County; California",621,711,570,2048
"06075017604","Census Tract 176.04; San Francisco County; California",255,572,495,2060
"06075017700","Census Tract 177; San Francisco County; California",377,181,709,1109
"06075017801","Census Tract 178.01; San Francisco County; California",813,462,451,1233
"06075017803","Census Tract 178.03; San Francisco County; California",158,383,631,918
"06075017804","Census Tract 178.04; San Francisco County; California",198,310,641,2642
"06075017903","Census Tract 179.03; San Francisco County; California",235,342,532,580
"06075018000","Census Tract 180; San Francisco County; California",413,215,450,1753
"06075020101","Census Tract 201.01; San Francisco County; California",517,461,443,1913
"06075020102","Census Tract 201.02; San Francisco County; California",698,513,406,1268
"06075020201","Census Tract 202.01; San Francisco County; California",170,192,162,1147
"06075020202","Census Tract 202.02; San Francisco County; California",135,407,599,2413
"06075020300","Census Tract 203; San Francisco County; California",66,84,436,2566
"06075020401","Census Tract 204.01; San Francisco County; California",6,110,423,2331
"06075020402","Census Tract 204.02; San Francisco County; California",29,305,473,2863
"06075020500","Census Tract 205; San Francisco County; California",76,177,355,1726
"06075020601","Census Tract 206.01; San Francisco County; California",121,188,302,2080
"06075020602","Census Tract 206.02; San Francisco County; California",22,30,249,1832
"06075020701","Census Tract 207.01; San Francisco County; California",27,87,230,2441
"06075020702","Census Tract 207.02; San Francisco County; California",96,89,260,1309
"06075020801","Census Tract 208.01; San Francisco County; California",676,174,382,1482
"06075020802","Census Tract 208.02; San Francisco County; California",685,41,213,795
"06075020900","Census Tract 209; San Francisco County; California",497,207,390,1885
"06075021000","Census Tract 210; San Francisco County; California",0,218,470,2351
"06075021100","Census Tract 211; San Francisco County; California",19,213,180,3001
"06075021200","Census Tract 212; San Francisco County; California",9,63,279,1948
"06075021300","Census Tract 213; San Francisco County; California",6,85,153,1721
"06075021400","Census Tract 214; San Francisco County; California",31,176,511,2287
"06075021500","Census Tract 215; San Francisco County; California",109,171,413,3551
"06075021600","Census Tract 216; San Francisco County; California",35,219,622,2742
"06075021700","Census Tract 217; San Francisco County; California",181,199,521,2306
"06075021800","Census Tract 218; San Francisco County; California",81,91,582,2677
"06075022600","Census Tract 226; San Francisco County; California",53,11,353,3164
"06075022702","Census Tract 227.02; San Francisco County; California",31,40,182,1432
"06075022704","Census Tract 227.04; San Francisco County; California",153,42,235,2747
"06075022801","Census Tract 228.01; San Francisco County; California",234,885,655,2210
"06075022802","Census Tract 228.02; San Francisco County; California",164,277,334,974
"06075022803","Census Tract 228.03; San Francisco County; California",422,494,446,1539
"06075022901","Census Tract 229.01; San Francisco County; California",1130,355,504,1458
"06075022902","Census Tract 229.02; San Francisco County; California",190,173,196,902
"06075022903","Census Tract 229.03; San Francisco County; California",247,330,518,1172
"06075023001","Census Tract 230.01; San Francisco County; California",1161,1031,518,1213
"06075023003","Census Tract 230.03; San Francisco County; California",502,669,777,1073
"06075023102","Census Tract 231.02; San Francisco County; California",351,366,966,367
"06075023103","Census Tract 231.03; San Francisco County; California",585,861,691,224
"06075023200","Census Tract 232; San Francisco County; California",838,493,540,572
"06075023300","Census Tract 233; San Francisco County; California",712,765,673,690
"06075023400","Census Tract 234; San Francisco County; California",608,693,730,249
"06075025100","Census Tract 251; San Francisco County; California",222,158,520,1750
"06075025200","Census Tract 252; San Francisco County; California",149,673,464,2924
"06075025300","Census Tract 253; San Francisco County; California",369,481,565,2177
"06075025401","Census Tract 254.01; San Francisco County; California",63,320,329,1714
"06075025402","Census Tract 254.02; San Francisco County; California",114,274,414,1541
"06075025403","Census Tract 254.03; San Francisco County; California",552,411,651,1527
"06075025501","Census Tract 255.01; San Francisco County; California",507,452,779,1153
"06075025502","Census Tract 255.02; San Francisco County; California",390,609,653,1371
"06075025600","Census Tract 256; San Francisco County; California",589,816,943,1534
"06075025701","Census Tract 257.01; San Francisco County; California",905,517,831,1240
"06075025702","Census Tract 257.02; San Francisco County; California",832,717,743,1073
"06075025800","Census Tract 258; San Francisco County; California",421,175,439,346
"06075025900","Census Tract 259; San Francisco County; California",349,555,672,1624
"06075026001","Census Tract 260.01; San Francisco County; California",899,788,1305,1411
"06075026002","Census Tract 260.02; San Francisco County; California",598,644,586,1052
"06075026003","Census Tract 260.03; San Francisco County; California",520,657,1067,1133
"06075026004","Census Tract 260.04; San Francisco County; California",559,641,699,1179
"06075026100","Census Tract 261; San Francisco County; California",1161,701,1360,1861
"06075026201","Census Tract 262.01; San Francisco County; California",499,521,895,1036
"06075026202","Census Tract 262.02; San Francisco County; California",698,731,557,1002
"06075026301","Census Tract 263.01; San Francisco County; California",884,1024,1057,860
"06075026302","Census Tract 263.02; San Francisco County; California",481,730,1247,981
"06075026303","Census Tract 263.03; San Francisco County; California",760,839,1178,925
"06075026401","Census Tract 264.01; San Francisco County; California",694,667,562,430
"06075026402","Census Tract 264.02; San Francisco County; California",597,907,624,1544
"06075026403","Census Tract 264.03; San Francisco County; California",748,627,853,673
"06075026404","Census Tract 264.04; San Francisco County; California",645,294,482,314
"06075030101","Census Tract 301.01; San Francisco County; California",38,199,482,2917
"06075030102","Census Tract 301.02; San Francisco County; California",13,279,415,3192
"06075030201","Census Tract 302.01; San Francisco County; California",334,227,359,2168
"06075030202","Census Tract 302.02; San Francisco County; California",355,185,624,2251
"06075030301","Census Tract 303.01; San Francisco County; California",290,303,479,3861
"06075030302","Census Tract 303.02; San Francisco County; California",293,213,427,1899
"06075030400","Census Tract 304; San Francisco County; California",364,354,536,2979
"06075030500","Census Tract 305; San Francisco County; California",475,380,542,1512
"06075030600","Census Tract 306; San Francisco County; California",35,92,174,1473
"06075030700","Census Tract 307; San Francisco County; California",31,365,764,3837
"06075030800","Census Tract 308; San Francisco County; California",138,315,617,3487
"06075030900","Census Tract 309; San Francisco County; California",363,181,1192,3135
"06075031000","Census Tract 310; San Francisco County; California",164,228,882,2107
"06075031100","Census Tract 311; San Francisco County; California",457,429,798,2968
"06075031201","Census Tract 312.01; San Francisco County; California",741,1013,1364,1567
"06075031202","Census Tract 312.02; San Francisco County; California",596,318,322,941
"06075031301","Census Tract 313.01; San Francisco County; California",280,463,819,1408
"06075031302","Census Tract 313.02; San Francisco County; California",510,587,707,2040
"06075031401","Census Tract 314.01; San Francisco County; California",554,387,466,453
"06075031402","Census Tract 314.02; San Francisco County; California",510,542,607,1344
"06075032601","Census Tract 326.01; San Francisco County; California",396,231,559,2373
"06075032602","Census Tract 326.02; San Francisco County; California",314,403,619,1904
"06075032700","Census Tract 327; San Francisco County; California",944,648,1113,2767
"06075032801","Census Tract 328.01; San Francisco County; California",333,645,721,1543
"06075032802","Census Tract 328.02; San Francisco County; California",329,557,777,1818
"06075032901","Census Tract 329.01; San Francisco County; California",606,438,1067,2212
"06075032902","Census Tract 329.02; San Francisco County; California",175,730,451,1537
"06075033001","Census Tract 330.01; San Francisco County; California",289,504,476,1908
"06075033002","Census Tract 330.02; San Francisco County; California",320,342,514,1931
"06075033100","Census Tract 331; San Francisco County; California",164,108,491,2004
"06075033201","Census Tract 332.01; San Francisco County; California",47,84,275,531
"06075033203","Census Tract 332.03; San Francisco County; California",147,292,638,1095
"06075033204","Census Tract 332.04; San Francisco County; California",268,302,759,1431
"06075035101","Census Tract 351.01; San Francisco County; California",353,340,451,1815
"06075035102","Census Tract 351.02; San Francisco County; California",514,160,570,1609
"06075035201","Census Tract 352.01; San Francisco County; California",709,492,854,2035
"06075035202","Census Tract 352.02; San Francisco County; California",328,587,622,1731
"06075035300","Census Tract 353; San Francisco County; California",345,917,995,2941
"06075035400","Census Tract 354; San Francisco County; California",497,889,1086,2931
"06075040100","Census Tract 401; San Francisco County; California",193,192,470,2321
"06075040200","Census Tract 402; San Francisco County; California",298,143,782,2570
"06075042601","Census Tract 426.01; San Francisco County; California",275,244,792,2164
"06075042602","Census Tract 426.02; San Francisco County; California",71,106,344,1718
"06075042700","Census Tract 427; San Francisco County; California",532,320,876,2609
"06075042800","Census Tract 428; San Francisco County; California",45,117,135,1515
"06075045100","Census Tract 451; San Francisco County; California",256,296,460,2776
"06075045201","Census Tract 452.01; San Francisco County; California",210,62,282,1875
"06075045202","Census Tract 452.02; San Francisco County; California",180,137,369,1776
"06075047600","Census Tract 476; San Francisco County; California",280,323,764,2668
"06075047701","Census Tract 477.01; San Francisco County; California",431,122,690,2485
"06075047702","Census Tract 477.02; San Francisco County; California",270,141,547,1620
"06075047801","Census Tract 478.01; San Francisco County; California",289,400,314,2370
"06075047802","Census Tract 478.02; San Francisco County; California",314,255,499,1565
"06075047902","Census Tract 479.02; San Francisco County; California",155,183,845,1597
"06075047903","Census Tract 479.03; San Francisco County; California",171,243,426,1953
"06075047904","Census Tract 479.04; San Francisco County; California",119,211,628,1468
"06075060100","Census Tract 601; San Francisco County; California",39,151,228,2148
"06075060400","Census Tract 604; San Francisco County; California",65,266,264,937
"06075060502","Census Tract 605.02; San Francisco County; California",398,467,586,338
"06075060701","Census Tract 607.01; San Francisco County; California",475,281,460,5466
"06075060702","Census Tract 607.02; San Francisco County; California",105,198,343,1474
"06075060703","Census Tract 607.03; San Francisco County; California",392,412,614,3397
"06075061000","Census Tract 610; San Francisco County; California",355,513,1039,1374
"06075061101","Census Tract 611.01; San Francisco County; California",646,338,51,269
"06075061102","Census Tract 611.02; San Francisco County; California",888,260,116,279
"06075061200","Census Tract 612; San Francisco County; California",443,911,824,941
"06075061401","Census Tract 614.01; San Francisco County; California",114,154,271,1688
