full_id,osm_id,osm_type,shop,email,addr:county,origin,name:zh-Hant,name:zh-Hans,name:ko,name:en,alt_name:ko,start_date,payment:american_express,entrance,door,automatic_door,payment:contactless,operator,atm,diet:vegetarian,diet:vegan,diet:halal,description,contact:facebook,official_name,wikimedia_commons,payment:debit_cards,payment:apple_pay,opening_hours:url,cuisine,addr:unit,toilets:wheelchair,payment:visa,payment:mastercard,old_name,level,alt_name,payment:credit_cards,payment:cash,name:zh,addr:country,visibility,support,faces,display,date,amenity,branch,check_date,wheelchair,website,self_checkout,ref,phone,organic,opening_hours,name,internet_access:fee,internet_access,dog,designation,check_date:opening_hours,brand:wikidata,brand,addr:street,addr:state,addr:postcode,addr:housenumber,addr:city
n1213823254,"1213823254",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco - 9th Street,2023-05-21,yes,https://locations.traderjoes.com/ca/san-francisco/78/,,"78",+1 415-863-1292,,"08:00-21:00",Trader Joe's,,,,,,Q688825,Trader Joe's,9th Street,CA,"94103","555",San Francisco
n1350484814,"1350484814",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,https://www.lebeaumarket.com/,,,+1-415-885-3030,,,Le Beau Market,,,,,,,,Leavenworth Street,,"94109","1263",
n1478520948,"1478520948",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biritemarket.com/,,,+1-415-278-7800,,Mo-Su 08:00-21:00,Bi-Rite Market,,,,,,,,Polk Street,CA,"94109","2140",San Francisco
n1706618868,"1706618868",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petrini Market,"0",Fulton Market,,,,US,,,,,,,,2026-01-09,yes,,,,,,Mo-Su 07:00-22:00,Lucky,,,,,,Q6698032,Lucky,Fulton Street,CA,"94117","1750",San Francisco
n1924130352,"1924130352",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ocean,2024-10-03,,https://www.wholefoodsmarket.com/stores/ocean,,ocean,+1 415-333-7400,,Mo-Su 08:00-22:00,Whole Foods Market,,,,,2024-10-03,Q1809448,Whole Foods Market,Ocean Avenue,CA,"94112","1150",San Francisco
n2047570604,"2047570604",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-27,limited,,,,,,Mo-Su 08:00-20:00,Casa Guadalupe,,,,,2025-02-27,,,,,,,
n2050131394,"2050131394",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-27,no,,,,,,"Mo-Fr 08:00-19:00; Sa,Su 08:30-18:30",Valencia Farmers Market,,,,,2025-02-27,,,Valencia Street,,,"1299",
n2059226347,"2059226347",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Bruno Supermarket,,,,,,,,,,,,
n2069159598,"2069159598",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,2025-07-31,yes,,,,,,Th-Tu 11:00-21:00,Valencia Whole Foods,,,,,2025-07-31,,,Valencia Street,,,"999",
n2078333126,"2078333126",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buddies Market,,,,,,,,,,,,
n2130264969,"2130264969",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco - North Beach,,,https://locations.traderjoes.com/ca/san-francisco/19/,,"19",+1 415-351-1013,,Mo-Su 08:00-21:00,Trader Joe's,,,,,,Q688825,Trader Joe's,Bay Street,CA,"94133","401",San Francisco
n2184767720,"2184767720",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,Category:Nijiya Market (San Francisco store),yes,yes,https://www.nijiya.com/store-location,japanese,#333,,,,,"0",,yes,yes,,,,,,,,,,2024-02-03,yes,https://www.nijiya.com/,,,+1 415 5631901,yes,Mo-Su 10:00-20:00,Nijiya Market,,,,,,Q24566947,,Post Street,CA,"94115","1737",San Francisco
n2184790554,"2184790554",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,San Francisco - Nob Hill,2023-01-09,yes,https://locations.traderjoes.com/ca/san-francisco/200/,,"200",+1 415-292-7665,,Mo-Su 09:00-21:00,Trader Joe's,,,,,,Q688825,Trader Joe's,Hyde Street,CA,"94109","1095",San Francisco
n2220082604,"2220082604",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Russian Hill Market,,,,,,,,Jones Street,,,,San Francisco
n2338835471,"2338835471",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,2025-09-05,yes,http://www.greenearthnaturalfoods.com/,,,,,Mo-Su 09:00-21:00,Green Earth,,,,,,,,Divisadero Street,CA,"94117","860",San Francisco
n2479681841,"2479681841",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,2001 Market Street,2025-06-06,yes,https://www.wholefoodsmarket.com/stores/2001marketstreet,,2001marketstreet,+1 415-626-1430,,Mo-Su 08:00-22:00,Whole Foods Market,,,,,2025-06-06,Q1809448,Whole Foods Market,Market Street,CA,"94114","2001",San Francisco
n2641796593,"2641796593",node,supermarket,,,,,,,,,,,,,,,,,,,,,,Grocery Outlet Bargain Market,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,Mo-Su 08:00-21:00,Grocery Outlet,,,,,,Q5609934,Grocery Outlet,Bayshore Boulevard,,"94124","355",San Francisco
n2667574537,"2667574537",node,supermarket,,,,,,,,,,,,,,,,,yes,yes,yes,Natural food grocery store,https://www.facebook.com/profile.php?id=100063808397737,,,,,,,,,yes,yes,,,,,,,,,,,,,,,2023-02-11,yes,,,,+1 415-282-6838,yes,"09:00-20:00",Five Markets,,,,,,,,24th Street,,"94110","2824",San Francisco
n2693004231,"2693004231",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,2026-01-25,yes,,,,,,"Mo-Th,Su 07:00-02:00; Fr-Sa 07:00-24:00",Frank's Liquors,,,,,,,,Haight Street,,,"1699",
n2698387925,"2698387925",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,2023-02-09,yes,,,,+1-415-771-9099,,,Golden Farmer Market,,,,,,,,Polk Street,,"94109","1475",San Francisco
n3148123214,"3148123214",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pang Kee Bargain Market,,,,,,,,,,,,
n3148123215,"3148123215",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sun Kau Shing Co., Inc.",,,,,,,,,,,,
n3376135508,"3376135508",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-20:00,Sutter Fine Foods,,,,,,,,Sutter Street,CA,"94109","988",San Francisco
n3524458050,"3524458050",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1 415-221-7600,,Mo-Su 08:30-20:30,6001 California Market (Appel & Dietrich),,,,,,,,California Street,CA,"94121","6001",San Francisco
n3564521986,"3564521986",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,幸運平價市場,,,,,,,,,,,,,,+1 415 682-8822,,,Good Luck Market,,,,,,,,Taraval Street,CA,"94116","1217",San Francisco
n3641710571,"3641710571",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-14,,,,,,,"Mo-Fr 07:00-22:00; Sa-Su 08:30-22:00",Harvest Urban Market,,,,,,,,8th Street,,,,
n3850073315,"3850073315",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gussmarket.com/,,,+1 415 431 9300,,"07:00-22:00",Gus's Community Market,,,,,,,,Harrison Street,,"94110","2111",
n3857827557,"3857827557",node,supermarket,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,2024-04-09,no,,,,,,,Rubin's Market,,,,,,,,Folsom Street,,,"2997",San Francisco
n3969574176,"3969574176",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiki Supermarket,,,,,,,,,,,,
n4017220288,"4017220288",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J & L Vegi Supermarket,,,,,,,,Stockton Street,,,"1215",
n4018980288,"4018980288",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Asia Market,,,,,,,,Pacific Avenue,,"94133","772",
n4113464697,"4113464697",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-06,yes,,,,,,Mo-Su 08:00-20:00,Casa Guadalupe,,,,,2025-03-06,,,Cesar Chavez Street,CA,"94110","3400",San Francisco
n4173566690,"4173566690",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-13,,,,,,,,Casa Maria,,,,,,,,South Van Ness Avenue,,,"1201;1203;1205",
n4218361464,"4218361464",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-25,yes,,,,,,,City Discount Meat & Grocery Market,,,,,,,,,,,,
n4548821705,"4548821705",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,Mi Pueblito Market,,,,,,,,Mission Street,,,"2765",
n4564626093,"4564626093",node,supermarket,,,,,,,,,,,,,,,,,,,,,,Grocery Outlet Bargain Market,,yes,,,,,,,,,"0",,yes,yes,,,,,,,,,,2022-10-17,yes,https://groceryoutlet.com/circulars/storeid/245,,"245",+1-415-876-5576,,Sa-Su 08:00-22:00,Grocery Outlet,,,,,,Q5609934,Grocery Outlet,Geary Boulevard,CA,"94121","6333",San Francisco
n4625108173,"4625108173",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,Mo-Sa 14:00-19:00,Jackson Market,,,,,,,,,,,,
n4630226706,"4630226706",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New California Market,,,,,,,,,,,,
n4637210183,"4637210183",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J H Grocery and Liquor,,,,,,,,,,,,
n4661543003,"4661543003",node,supermarket,,,,,,,,,,,,,,,Whole Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potrero Hill,2024-10-03,no,https://www.wholefoodsmarket.com/stores/potrerohill,,potrerohill,+1 415-552-1155,,Mo-Su 08:00-22:00,Whole Foods Market,,,,,2024-10-03,Q1809448,Whole Foods Market,Rhode Island Street,CA,"94107","450",San Francisco
n4693634740,"4693634740",node,supermarket,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,yes,,,,,,"PH,Mo-Su 08:00-21:00",Gus's Community Market,,,,,,,,4th Street,CA,"94158","1101",San Francisco
n4704557447,"4704557447",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,,,,,,,,,San Francisco - Pacific Place,2025-03-04,,https://locations.traderjoes.com/ca/san-francisco/225/,,"225",+1 415-536-7801,,"09:00-21:00",Trader Joe's,,,,,2022-10-14,Q688825,Trader Joe's,4th Street,CA,"94103","10",San Francisco
n4852448016,"4852448016",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,2025-12-02,,http://fallettifoods.com,,,,,Mo-Su 07:00-21:00,Falletti Foods,,,,,,,,Broderick Street,CA,"94127","302",San Francisco
n6469314085,"6469314085",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-17,,https://www.woodlandsmarket.com/san-francisco/,,,,,Mo-Su 07:00-21:00,Woodlands Market,,,,,,,,Folsom Street,CA,"94105","203",San Francisco
n6536212405,"6536212405",node,,,,,,,,,,,,yes,sliding,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n8140177640,"8140177640",node,supermarket,,,,,,,,,2020-11-14,yes,,,,yes,,,,,,,,,,yes,,,,,,yes,yes,,,,yes,yes,,,,,,,,,,,,https://lukeslocal.com/,,,,yes,Mo-Su 08:00-21:00,Luke's Local,,,,,,,,Union Street,CA,"94123","2190",San Francisco
n8663867589,"8663867589",node,supermarket,,,korean,韓亞龍,韩亚龙,한아름,H Mart,H 마트,,,,,,,,,,,,,,,,,,,asian,,,,,,,,,,,,,,,,,,,2024-08-24,yes,https://www.hmart.com/storelocator/index/index/id/97/,,,+1 650 9937450,,"Mo-Su,PH 08:00-22:00",H Mart,,,,,,Q5636306,H Mart,Alemany Boulevard,,,"3995",
n9147266528,"9147266528",node,supermarket,,San Francisco,,,,,,,,,,,,,,,,,,"Neighborhood grocery store with fresh fruit, deli, fresh sushi, sandwiches, coffee, and more.",,,,,,,,,,,,,,,,,,US,,,,,,,,,,https://gussmarket.com/market-locations/noriega-market-san-francisco/,,,+1-415-564-0370,,Mo-Su 08:00-21:00,Gus's Community Market,,,,,,,,Noriega Street,CA,"94122","3701",San Francisco
n9765670368,"9765670368",node,,,,,,,,,,,,main,sliding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n9794184321,"9794184321",node,supermarket,,,,,,,Boss Supermarket,,,,,,,,,,,,,Asian grocery & seafood store,,,,,,,,,,,,,"0",,,,,,,,,,,,,2026-02-14,yes,,,,+1 415-682-7287,,,Boss Supermarket,,,,,,,,Noriega Street,,,"2551",
n10057579916,"10057579916",node,supermarket,islandcovemarket@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://islandcovefoodcourt.com,,,+1-415-391-2299,,,Island Cove Market,,,,,,,,,,"94130",,
n10311776854,"10311776854",node,supermarket,,San Francisco,,,,,,,,,,,,,Safeway,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,"2646",2025-12-06,,https://local.safeway.com/safeway/ca/san-francisco/735-7th-ave.html,,,+1-415-683-4070,,Mo-Su 06:00-24:00,Safeway,,,,Safeway 2646,,Q1508234,Safeway,7th Avenue,CA,"94118","735",San Francisco
n10610255658,"10610255658",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stonestown,2024-10-03,,https://www.wholefoodsmarket.com/stores/stonestown,,stonestown,+1 415-375-4242,,Mo-Su 08:00-22:00,Whole Foods Market,,,,,2024-10-03,Q1809448,Whole Foods Market,20th Avenue,CA,"94132","3251",San Francisco
n10794112885,"10794112885",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,2024-09-18,,,,,+1 415-221-5550,,"09:00-20:00",Royal Market,,,,,,,,Geary Boulevard,,,"5335",
n11029498046,"11029498046",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four Seasons Market,,,,,,,,,,,,
n11064507175,"11064507175",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,yes,https://local.safeway.com/safeway/ca/san-francisco/145-jackson-st.html,,"4601",+1 415-982-3112,,"06:00-21:00",Safeway,,,,,,Q1508234,Safeway,Jackson Street,CA,"94111","145",San Francisco
n11162304805,"11162304805",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-415-988-7919,,Mo-Su 08:00-20:00,Fruit Barn,,,,,,,,Ocean Avenue,CA,"94112","1616",San Francisco
n11330110153,"11330110153",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-415-587-8908,,,All Fresh Market,,,,,,,,Ocean Avenue,CA,"94112","1532",San Francisco
n11897570031,"11897570031",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,indian,,,,,,,,,,,,,,,,,,,,,https://chaatcornersf.com/,,,+1 415 979 9946,,,Chaat Corner Indian Grocery,,,,,,,,3rd Street,,"94107","320",San Francisco
n11950809144,"11950809144",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,2024-06-01,yes,,,,,,"09:00-21:00",Trader Joe's,,,,,,Q688825,Trader Joe's,Laguna Street,,,"788",
n12522217330,"12522217330",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-21,,,,,,,,Samiramis Imports,,,,,,,,Mission Street,,,"2990",
n12730814708,"12730814708",node,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n12863374035,"12863374035",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,2025-05-25,yes,,,,,,,Mission Food Center,,,,,,,,Mission Street,,,"2366",
n13069359115,"13069359115",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,2026-01-13,yes,,,,,,,Luke's Local,,,,,,,,9th Avenue,,,"1266",
n13311274107,"13311274107",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://haminimart.com/,,,,,,Ha Mini Mart,,,,,,,,,,,,
