X,Y,full_id,osm_id,osm_type,shop,contact_ph,name_zh,addr_unit,official_n,contact_fa,sfgov_OBJN,payment_co,organic,level,origin,alt_name,addr_house,atm,payment_de,payment_cr,payment_ca,roof_shape,start_date,roof_colou,internet_a,building_c,layer,operator,wikipedia,wikidata,payment_vi,payment_ma,image,email,cooperativ,roof_level,check_date,smoking,ref,branch,wheelchair,phone,height,designatio,website,type,opening_ho,name,check_da_1,building_l,building,brand_wiki,brand,addr_stree,addr_state,addr_postc,addr_hou_1,addr_count,addr_city,name_zh-Ha,name_zh-_1,name_ko,name_en,alt_name_k,payment_am,entrance,door,automatic_,drink_wine,diet_veget,diet_vegan,diet_halal,descriptio,wikimedia_,payment_ap,cuisine,toilets_wh,old_name,addr_cou_1,visibility,support,faces,display,date,amenity,self_check,opening__1,internet_1,dog,path
550132.801070291,4178453.23112163,w194906343,"194906343",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,Whole Foods,,,,,,,,,2024-10-03,,noevalley,Noe Valley,,+1 415-282-4700,,,https://www.wholefoodsmarket.com/stores/noevalley,,Mo-Su 08:00-22:00,Whole Foods Market,2024-10-03,,yes,Q1809448,Whole Foods Market,24th Street,CA,"94114","3950",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
545026.707991892,4178665.22014072,w219058329,"219058329",way,supermarket,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"985",,yes,+1 415-665-4565,"0",Safeway 0985,https://local.safeway.com/safeway/ca/san-francisco/2350-noriega-st.html,,"06:00-02:00",Safeway,2026-02-15,,yes,Q1508234,Safeway,Noriega Street,CA,"94122","2350",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
543209.109989414,4180690.16882067,w219059013,"219059013",way,supermarket,,,,,,,,,,,,,,,,,,"1971",#dad8d4,wlan,#d9d4cd,,,,,,,,,,,,,"0785",,yes,+1 415-387-4664,"0.01",Safeway 0785,https://local.safeway.com/safeway/ca/san-francisco/850-la-playa-st.html,,Mo-Su 09:00-00:00,Safeway,2025-07-26,"1",retail,Q1508234,Safeway,La Playa Street,CA,"94121","850",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
548460.123596183,4176140.20392591,w219059390,"219059390",way,supermarket,,,,,,,,,,,,,,,,,,,,,,"-1",,,,,,,,,,,,"759","0759",,+1 415-586-2421,,Safeway 0759,https://local.safeway.com/safeway/ca/san-francisco/625-monterey-blvd.html,,"06:00-24:00",Safeway,,,yes,Q1508234,Safeway,Monterey Boulevard,CA,"94127","625",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
549429.59163241,4177512.74242104,w219071301,"219071301",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0667","0667",yes,+1 415-824-7744,"6",Safeway 0667,https://local.safeway.com/safeway/ca/san-francisco/5290-diamond-heights-blvd.html,,"06:00-02:00",Safeway,,,yes,Q1508234,Safeway,Diamond Heights Boulevard,CA,"94131","5290",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
550351.10541955,4180353.14993401,w219072560,"219072560",way,supermarket,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"1507",,yes,+1 415-861-7660,"6",,https://local.safeway.com/safeway/ca/san-francisco/2020-market-st.html,,Mo-Su 06:00-21:00,Safeway,2025-12-02,"1",retail,Q1508234,Safeway,Market Street,CA,"94114","2020",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
551396.313531547,4177005.66438445,w225063111,"225063111",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,Mo-Su 07:00-21:30,Good Life Grocery,,,yes,,,Cortland Avenue,,"94110","448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
548190.544585243,4180389.0272048,w228246796,"228246796",way,supermarket,,,,,,,,,,,,,,,,,flat,,,,,,,,,,,,,,,2024-10-03,,haightstreet,Haight Street,yes,+1 415-876-6740,"6",,https://www.wholefoodsmarket.com/stores/haightstreet,,Mo-Su 08:00-22:00,Whole Foods Market,2026-01-25,"1",retail,Q1809448,Whole Foods Market,Stanyan Street,CA,"94117","690",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
550881.771058118,4177485.98743165,w231656266,"231656266",way,supermarket,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,"0739",,yes,+1 415-826-2866,"7",Safeway 0739,https://local.safeway.com/safeway/ca/san-francisco/3350-mission-st.html,,24/7,Safeway,2024-03-08,,yes,Q1508234,Safeway,Mission Street,CA,"94110","3350",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
548130.735814314,4177528.00814754,w256912288,"256912288",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,Miraloma Market,,,retail,,,Portola Drive,,"94127","755",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
551928.794357738,4178564.39249302,w258157210,"258157210",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,Lo-cost Meat Market,,,yes,,,24th Street,CA,,"2918",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
547718.543403126,4181061.9240219,w260194579,"260194579",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,"Mo-Sa 07:30-20:00; Su 07:30-19:00; PH closed",Arguello Market,2025-04-27,"1",commercial,,,Arguello Boulevard,CA,"94118","782",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
551946.737848862,4183599.07314133,w260967541,"260967541",way,supermarket,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,+1-415-398-3288,"8",,,,,"Chef Bowl, Inc.",,"2",yes,,,Vallejo Street,CA,"94133","775;779",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
549537.970203107,4180978.38755521,w261292750,"261292750",way,supermarket,,,,,,,,,,,,Bi-Rite Market,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,https://biritemarket.com/,,,Bi-Rite Market,2025-09-17,,yes,,,Divisadero Street,,"94117","550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
549789.855125345,4182505.54654609,w263224863,"263224863",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,+1-415-567-4902,"9",,,,,Mollie Stone's,2025-12-09,,yes,,,California Street,CA,,"2435",US,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
547002.439562441,4179374.04968853,w264202048,"264202048",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,Mo-Su 08:00-20:00,Roxie’s Market & Deli,,,commercial,,,Kirkham Street,,"94122","500",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
548647.664185566,4180462.79209591,w264371887,"264371887",way,supermarket,,,,,,,,,,,,Haight Street Market,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,"6","Grocery, product, deli, meats and fish",http://www.haightstreetmarket.com,,Mo-Su 07:00-21:30,Haight Street Market,2025-09-10,,yes,,,Haight Street,,"94117","1530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
548483.19547951,4179890.17530758,w264645161,"264645161",way,supermarket,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,yes,,"5",,,,Mo-Su 08:00-21:00,Luke's Local,2025-12-03,,retail,,,Cole Street,CA,"94117","960",US,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
548353.771589128,4182264.09904843,w273331515,"273331515",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,"7",,,,"Mo-Sa 09:00-18:00; Su off",Bryan's Grocery,2024-08-18,,yes,,,California Street,CA,"94118","3445",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
548252.279153884,4177635.95178421,w276546465,"276546465",way,supermarket,,,,,,,,,,,Tower Market,,,,,,,,,,,,,,,,,,,,,,,,,yes,,"7",,,,"07:00-21:00",Mollie Stone's,,"1",retail,,,Portola Drive,CA,"94127","635",US,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
545752.723061588,4179667.00776086,w276623337,"276623337",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,"7",,,,"Mo-Sa 07:30-19:00; Su 07:30-18:00",22nd & Irving Market,2025-12-14,"1",retail,,,Irving Street,CA,"94122","2101",US,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
545441.051333414,4179646.991562,w276814493,"276814493",way,supermarket,,,,,,,,,,asian,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,"8",,,,,25th Irving Market,2025-02-09,,yes,,,Irving Street,CA,"94122","2425",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
549887.930863943,4176460.91035134,w277743066,"277743066",way,supermarket,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,no,,,,+1 415 586 9999,,,https://canyonmarket.com/,,Mo-Su 07:00-20:00,Canyon Market,,,commercial,,,Diamond Street,CA,"94131","2815",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
543657.66913142,4179377.69762389,w277861419,"277861419",way,supermarket,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,info@otheravenues.coop,,,,,,,yes,+1-415-661-7475,,,https://otheravenues.coop,,"08:00-21:00",Other Avenues Grocery Co-op,2025-12-21,,yes,,,Judah Street,CA,"94122","3930",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
546495.461055166,4177429.91427504,w278909610,"278909610",way,supermarket,,,,,,,yes,yes,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,"6",,http://www.parksidefarmersmarket.com/,,"Mo-Sa 07:00-19:00; Su 07:00-18:00",Parkside Farmers Market,,,yes,,,Taraval Street,CA,"94116","555",US,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
544286.063180866,4176877.65946008,w288678028,"288678028",way,supermarket,,,,,,SanfranQ_4133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,Sunset Super,2025-11-26,,yes,,,Vicente Street,CA,"94116","2801",US,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
552357.435811551,4173638.83373286,w289560462,"289560462",way,supermarket,,,,Grocery Outlet Bargain Market,https://www.facebook.com/visitacionvalleygroceryou,,,,,,,,,,,,,,,,,,,,,,,,visitacionvalley@groceryoutlet.com,,,,,,Visitacion Valley,,+1 415-715-1030,"5",,,,"08:00-21:00",Grocery Outlet,,,yes,Q5609934,Grocery Outlet,Bayshore Boulevard,CA,"94134","2630",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
552072.25842796,4176139.03330723,w290044336,"290044336",way,supermarket,,,,Grocery Outlet Bargain Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-415-825-5678,"7",,,,Mo-Su 08:00-21:00,Grocery Outlet,,,yes,Q5609934,Grocery Outlet,Silver Avenue,,,"1390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
549446.878535555,4174890.38901617,w290616523,"290616523",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1 415-587-7200,"6",Safeway 0964,https://local.safeway.com/safeway/ca/san-francisco/4950-mission-st.html,,24/7,Safeway,,,yes,Q1508234,Safeway,Mission Street,CA,"94112","4950",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
552024.616431783,4180115.26870166,w293604057,"293604057",way,supermarket,,,"203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1 415-575-1120,,Safeway 1490,https://local.safeway.com/safeway/ca/san-francisco/2300-16th-st-unit-203.html,,"06:00-23:00",Safeway,2024-06-07,,retail,Q1508234,Safeway,16th Street,CA,"94102","2300",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
550318.25245024,4176049.34915624,w503144637,"503144637",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-415-337-7272,,,,,Mo-Su 09:00-19:30,Manila Oriental Market,,,yes,,,Mission Street,CA,"94112","4175",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
551450.990546039,4178586.05757197,w503427028,"503427028",way,supermarket,,,,Grocery Outlet Bargain Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-415-872-7170,,,https://groceryoutlet.com/circulars/storeid/306,,Mo-Su 08:00-20:00,Grocery Outlet,,,yes,Q5609934,Grocery Outlet,South Van Ness Avenue,CA,"94110","1245",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
546938.279099355,4181828.46599056,w624596716,"624596716",way,supermarket,,新美華超級市場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richmond New May Wah Supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
551357.910557238,4181182.30666687,w1105289817,"1105289817",way,supermarket,,,"100",,,,,,"0",,Market on Market,,,,,,,,,,,,,,,,,,,,,,,,,,+1 415-767-5130,,,https://www.visitthemarket.com/,,Mo-Fr 08:00-20:00,The Market,2025-12-02,,,,,Market Street,CA,"94103","1355",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
544639.039167947,4181773.17394081,w1156829796,"1156829796",way,supermarket,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,https://local.andronicos.com/ca/san-francisco/375-32nd-ave.html,,,Andronico's,,,yes,Q4759491,Andronico's,32nd Avenue,CA,"94121","375",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
544987.518669411,4176321.85118502,w1378825464,"1378825464",way,supermarket,+1-415-681-4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"755",,,,"7",,,,,Lucky,,,retail,Q6698032,Lucky,Sloat Boulevard,CA,"94132","1515",US,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
553360.056623216,4181221.34890739,n293632937,"293632937",node,supermarket,,,,,,,,yes,,,,"298",,,,,,,,no,,,,,,,,,,,,,,"2606",,yes,+1 415-633-1001,,Safeway 2606,https://local.safeway.com/safeway/ca/san-francisco/298-king-st.html,,,Safeway,2024-09-02,,,Q1508234,Safeway,King Street,CA,"94107",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,no,Su-Sa 06:00-22:00,wlan,no,/Users/admin/Desktop/QGIS/point.shp
548181.569254051,4182242.08316469,n332787306,"332787306",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-03,,,,yes,,,,,,,Calmart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
552854.273854768,4181703.21185547,n389404007,"389404007",node,supermarket,,,,,,,,yes,,,,"399",,,,,,,,,,,,,,,,,,,,2024-10-03,,soma,SoMa,,+1 415-618-0066,,,https://www.wholefoodsmarket.com/stores/soma,,,Whole Foods Market,2024-10-03,,,Q1809448,Whole Foods Market,4th Street,CA,"94107",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-22:00,,no,/Users/admin/Desktop/QGIS/point.shp
551318.298013239,4181177.91743398,n411910255,"411910255",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,street,wall_mounted,"3",analog,no,clock,,,,,/Users/admin/Desktop/QGIS/point.shp
549157.937375644,4183774.27453028,n416779714,"416779714",node,supermarket,,,,,,,,,,,,"2323",,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,Marina Supermarket,,,,,,Chestnut Street,CA,,,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
549629.154056401,4179410.35778354,n459504817,"459504817",node,supermarket,,,,,,,,,,,,"4201",,,,,,,,,,,,,,,,,,,,,,,,yes,+1-415-255-8959,,,https://www.molliestones.com/,,,Mollie Stone's,,,,,,18th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 07:00-21:00,,,/Users/admin/Desktop/QGIS/point.shp
552029.853124803,4183642.34232288,n612767884,"612767884",node,supermarket,,恆興超級市場,,,,,,,,,,"1401",,,,,,,,,,,,,,,,,,,,,,,,,+1 415 3972668,,,,,,JW & L Market,,,,,,Stockton Street,CA,,,,San Francisco,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
546157.963070389,4175609.81009276,n761762694,"761762694",node,supermarket,,,,,,,,,,,,"265",,,,,,,,,,,,,,,,,,,,,,"236",San Francisco - Stonestown,,+1 415-665-1835,,,https://locations.traderjoes.com/ca/san-francisco/236/,,,Trader Joe's,,,,Q688825,Trader Joe's,Winston Drive,CA,"94132",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-21:00,,,/Users/admin/Desktop/QGIS/point.shp
552057.568320397,4181417.09088447,n904141569,"904141569",node,grocery,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starco Mart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
550766.862303076,4182682.00466314,n1002186270,"1002186270",node,supermarket,,,,,,,,,,,,"1765",,,,,,,,no,,,,,,,,,,,,2024-10-03,,franklin,Franklin,yes,+1 415-674-0500,,,https://www.wholefoodsmarket.com/stores/franklin,,,Whole Foods Market,2024-10-03,,,Q1809448,Whole Foods Market,California Street,CA,"94109",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-22:00,wlan,,/Users/admin/Desktop/QGIS/point.shp
553772.231952976,4176784.26887464,n1205120785,"1205120785",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Super Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
552160.642626867,4180572.48616134,n1213823254,"1213823254",node,supermarket,,,,,,,,,,,,"555",,,,,,,,,,,,,,,,,,,,2023-05-21,,"78",San Francisco - 9th Street,yes,+1 415-863-1292,,,https://locations.traderjoes.com/ca/san-francisco/78/,,,Trader Joe's,,,,Q688825,Trader Joe's,9th Street,CA,"94103",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08:00-21:00",,,/Users/admin/Desktop/QGIS/point.shp
551397.129634175,4182995.97617533,n1350484814,"1350484814",node,supermarket,,,,,,,,,,,,"1263",,,yes,yes,,,,,,,,,,,,,,,,,,,,,+1-415-885-3030,,,https://www.lebeaumarket.com/,,,Le Beau Market,,,,,,Leavenworth Street,,"94109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
550912.729403257,4183399.30112198,n1478520948,"1478520948",node,supermarket,,,,,,,,,,,,"2140",,,,,,,,,,,,,,,,,,,,,,,,,+1-415-278-7800,,,https://biritemarket.com/,,,Bi-Rite Market,,,,,,Polk Street,CA,"94109",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-21:00,,,/Users/admin/Desktop/QGIS/point.shp
548789.240965145,4181118.41093423,n1706618868,"1706618868",node,supermarket,,,,,,,,,"0",,Fulton Market,"1750",,,,,,,,,,,,,,,,,,,,2026-01-09,,,,yes,,,,,,,Lucky,,,,Q6698032,Lucky,Fulton Street,CA,"94117",,,San Francisco,,,,,,,,,,,,,,,,,,,Petrini Market,US,,,,,,,,Mo-Su 07:00-22:00,,,/Users/admin/Desktop/QGIS/point.shp
